Playback::frame, 0
Playback::version, 2, 131603
#
# FMOD v2.02.13 command capture
#   System::setSoftwareChannels(numsoftwarechannels: 256)
#   System::setDSPBufferSize(bufferlength: 1024, numbuffers: 4)
#   System::setSoftwareFormat(samplerate: 48000, speakermode: 3, numrawspeakers: 2)
#   System::setAdvancedSettings(settings: {maxMPEGCodecs: 0, maxADPCMCodecs: 0, maxXMACodecs: 0, maxVorbisCodecs: 256, maxAT9Codecs: 0, maxFADPCMCodecs: 0, maxPCMCodecs: 0, maxOpusCodecs: 0
#       ASIONumChannels: 0, vol0virtualvol: 0, defaultDecodeBufferSize: 400, geometryMaxFadeTime: 0,
#       distanceFilterCenterFreq: 1500, reverb3Dinstance: 0, DSPBufferPoolSize: 8, resamplerMethod: 2, randomSeed: 2984233082})
#   Studio::System::setAdvancedSettings(settings: {commandqueuesize: 32768, handleinitialsize: 65536, studioupdateperiod: 20, idlesampledatapoolsize: 262144})
#   Studio::System::initialize(maxchannels: 1024, studioflags: 0x00000009, flags: 0x00030000)
#
Playback::frame, 0
# Printing initial instance state
System::loadBankFile, HH_FMOD/Build/Desktop/Master.strings.bank, 0, 2097344
Playback::loadBankFinished, {1cb706d2-24ba-052d-1995-f39a147c13a8}, 2097344, 0
System::loadBankFile, HH_FMOD/Build/Desktop/Master.bank, 0, 2097600
Playback::loadBankFinished, {84aa2606-55c1-496f-9fdc-7964e58f1530}, 2097600, 0
Bank::getEventListItem, 2097600, 0, {00d5f604-702a-4be2-b6be-e15b3e5a4908}, 2102208
Bank::getEventListItem, 2097600, 1, {fc06750e-4d78-41e1-9d0c-d44af5d183ca}, 2102464
Bank::getEventListItem, 2097600, 2, {51833f0f-e6c1-4ba8-9486-912e19460b90}, 2102720
Bank::getEventListItem, 2097600, 3, {a2d8ec11-d204-46af-9314-8eac7435979f}, 2102976
Bank::getEventListItem, 2097600, 4, {107fba14-65c7-4b4c-b043-0bc11d4589f5}, 2103232
Bank::getEventListItem, 2097600, 5, {e7657516-e224-42bc-877e-350715e0eebc}, 2103488
Bank::getEventListItem, 2097600, 6, {f7c0c719-6f97-4569-8b3c-093be4fb5b56}, 2103744
Bank::getEventListItem, 2097600, 7, {f1f2121b-7c94-4df9-a91c-e8f27d9550d6}, 2104000
Bank::getEventListItem, 2097600, 8, {a5b36020-6cef-4832-a22b-c57fafbbbaa2}, 2104256
Bank::getEventListItem, 2097600, 9, {9b214328-3c94-4c96-9c7b-595579614968}, 2104512
Bank::getEventListItem, 2097600, 10, {ddcf9228-83bf-4f03-937d-a92000a7b589}, 2104768
Bank::getEventListItem, 2097600, 11, {a5ec322b-6172-4d85-9301-f39ced98fe6a}, 2105024
Bank::getEventListItem, 2097600, 12, {95378c2b-9852-473b-83b8-0d8dbd6d62df}, 2105280
Bank::getEventListItem, 2097600, 13, {7b31352c-190b-4981-9e37-0442b63bdd67}, 2105536
Bank::getEventListItem, 2097600, 14, {4b08b92c-bdf9-41ad-9df4-772713f3e022}, 2105792
Bank::getEventListItem, 2097600, 15, {3c38052d-6e4c-4a4a-ab43-deeea006769b}, 2106048
Bank::getEventListItem, 2097600, 16, {99f3c52d-b48b-45c8-9b65-a9c6763fa0a6}, 2106304
Bank::getEventListItem, 2097600, 17, {9cce8e2f-8880-4104-8586-6985b90f492c}, 2106560
Bank::getEventListItem, 2097600, 18, {207d5635-742e-4e1c-ad31-28ad20fff4b8}, 2106816
Bank::getEventListItem, 2097600, 19, {b2bb7935-5c4b-4eda-8ed3-853d0b4a15e1}, 2107072
Bank::getEventListItem, 2097600, 20, {91afa536-bd35-49df-a281-d65a51ac5cb9}, 2107328
Bank::getEventListItem, 2097600, 21, {6d9aac3b-ec7b-488d-be40-242cb3ab20ed}, 2107584
Bank::getEventListItem, 2097600, 22, {04c6b73c-99e6-45b4-9122-a409b7581bd2}, 2107840
Bank::getEventListItem, 2097600, 23, {bfb2fe3f-0e04-47c7-b163-a2dff1d14d36}, 2108096
Bank::getEventListItem, 2097600, 24, {e485c040-e84e-43fc-b6dd-fa7abc09b8c2}, 2108352
Bank::getEventListItem, 2097600, 25, {84ecde43-1d44-4fe4-ac6d-77caa13bc4fe}, 2108608
Bank::getEventListItem, 2097600, 26, {c25b3250-6f21-4025-857b-12006c6186bb}, 2108864
Bank::getEventListItem, 2097600, 27, {5e0b9756-8b7d-495a-b943-6efbd502bbd0}, 2109120
Bank::getEventListItem, 2097600, 28, {f0a95158-6afb-4c99-abdc-72bdf2cb17e3}, 2109376
Bank::getEventListItem, 2097600, 29, {018a8f58-033a-4d51-9c7c-eb50f3ddcd0a}, 2109632
Bank::getEventListItem, 2097600, 30, {c19e4c5d-2412-4b9d-bc5e-4bcd30cd8894}, 2109888
Bank::getEventListItem, 2097600, 31, {1c8deb5e-1ed3-4d49-b80c-d0333d2776e6}, 2110144
Bank::getEventListItem, 2097600, 32, {364c4760-8748-44d2-b746-3dec1b4178f7}, 2110400
Bank::getEventListItem, 2097600, 33, {4d6bb966-d6a3-4c23-bb02-eded086e0e3e}, 2110656
Bank::getEventListItem, 2097600, 34, {cf93826a-4e1d-44e3-b39b-bc93e308fc5d}, 2110912
Bank::getEventListItem, 2097600, 35, {48aba06e-a46c-4974-a6e4-34c14867ede2}, 2111168
Bank::getEventListItem, 2097600, 36, {ac537971-801e-4b17-910b-8c672e469668}, 2111424
Bank::getEventListItem, 2097600, 37, {6eee7179-675b-48ac-9013-72aaa60b2239}, 2111680
Bank::getEventListItem, 2097600, 38, {dd432e7a-098e-4ab2-8e05-e1873f21c202}, 2111936
Bank::getEventListItem, 2097600, 39, {330c447b-fb04-44e9-88d3-b7b8243fb3ec}, 2112192
Bank::getEventListItem, 2097600, 40, {4f2f5e7b-ad37-4511-aa2f-3da7249cdc58}, 2112448
Bank::getEventListItem, 2097600, 41, {50b23f7e-06e6-4083-a12e-ccdd36cca790}, 2112704
Bank::getEventListItem, 2097600, 42, {bb777f7e-459c-463e-81e5-417f5873fd08}, 2112960
Bank::getEventListItem, 2097600, 43, {0354a980-50cc-4cd1-bd23-ab8e66ad01aa}, 2113216
Bank::getEventListItem, 2097600, 44, {2fbef082-b763-4094-b099-389ab863b22b}, 2113472
Bank::getEventListItem, 2097600, 45, {535f9e83-4ea0-4fb4-8e16-c29ac41a9e7f}, 2113728
Bank::getEventListItem, 2097600, 46, {2e04618d-9afb-414f-bbd0-0fa2b662d716}, 2113984
Bank::getEventListItem, 2097600, 47, {e5dcb590-dec8-4660-b4d6-01de73929b63}, 2114240
Bank::getEventListItem, 2097600, 48, {9a7a3391-425e-47b2-8920-f92ff919d7fd}, 2114496
Bank::getEventListItem, 2097600, 49, {38d28693-73f7-4e82-a368-c2bfb91552e8}, 2114752
Bank::getEventListItem, 2097600, 50, {0efe9794-61ed-4390-afba-aa6d3bc7bcc8}, 2115008
Bank::getEventListItem, 2097600, 51, {8ebce99d-56d4-4e68-be61-abe65c19947a}, 2115264
Bank::getEventListItem, 2097600, 52, {da55a19e-9a05-4358-b2cc-a96ca8e8f7ef}, 2115520
Bank::getEventListItem, 2097600, 53, {8334e09e-14ee-4f57-9037-9397c68ebde5}, 2115776
Bank::getEventListItem, 2097600, 54, {c93d88a1-6675-4629-97c3-980f4e2e56f2}, 2116032
Bank::getEventListItem, 2097600, 55, {0a6cd9a6-45b7-4a77-9b14-bc3ac4379525}, 2116288
Bank::getEventListItem, 2097600, 56, {d05916a9-060e-40b3-a103-8d976cd670d6}, 2116544
Bank::getEventListItem, 2097600, 57, {5985aea9-cffb-4d6b-b4c7-296d1bd6ce5d}, 2116800
Bank::getEventListItem, 2097600, 58, {d7cc37ab-4761-462e-8771-67c3d523ba5c}, 2117056
Bank::getEventListItem, 2097600, 59, {0d1a39ab-e51f-4a11-8adf-62afb52146ab}, 2117312
Bank::getEventListItem, 2097600, 60, {dbf470ab-de29-46bd-8e96-6c4be98bf9c3}, 2117568
Bank::getEventListItem, 2097600, 61, {507df7ac-40c1-489f-b8a7-81c3e0749522}, 2117824
Bank::getEventListItem, 2097600, 62, {481d9cae-3cfe-490b-86b8-0a0a3578f4a6}, 2118080
Bank::getEventListItem, 2097600, 63, {cd3f8daf-c817-4d52-b479-ea59ccdf38c0}, 2118336
Bank::getEventListItem, 2097600, 64, {a99f46b2-73f2-45eb-905a-e07d7da6cf5f}, 2118592
Bank::getEventListItem, 2097600, 65, {6bddb7b5-2685-4eef-8347-89ca349870cd}, 2118848
